source,dest,route_type,hour,median_delay_ratio,trip_count,pct_delayed,median_actual_time,median_osrm_time,median_distance,excess_ratio,weighted_breach
IND000000ACB,IND562132AAA,FTL,23,1.4999999250000036,156,0.8397435897435898,29.0,19.0,27.1197,0.49999992500000356,77.99998830000055
IND562132AAA,IND000000ACB,FTL,23,1.5217390642722146,105,0.8095238095238095,34.0,21.0,27.1073,0.5217390642722146,54.782601748582536
IND000000ACB,IND712311AAA,FTL,23,1.7058822525951616,75,0.9866666666666667,30.0,16.0,23.816,0.7058822525951616,52.94116894463712
IND000000ACB,IND421302AAG,FTL,23,1.5833332673611138,67,0.8208955223880597,36.0,22.0,29.938,0.5833332673611138,39.08332891319463
IND421302AAG,IND000000ACB,FTL,23,1.6969696455463745,53,0.9433962264150944,32.0,19.0,25.0528,0.6969696455463745,36.93939121395785
IND641062AAD,IND643231AAA,Carting,23,1.9444442145062002,38,1.0,16.0,9.0,10.0448,0.9444442145062002,35.88888015123561
IND635802AAB,IND635601AAB,Carting,4,2.761904335600973,18,1.0,17.0,6.0,9.786100000000001,1.7619043356009731,31.71427804081752
IND431136AAC,IND411033AAA,FTL,23,2.6969695609121587,18,0.9444444444444444,48.0,18.5,26.8044,1.6969695609121587,30.545452096418856
IND742149AAA,IND742148AAA,Carting,23,3.142856693877615,14,1.0,21.0,7.0,10.5399,2.142856693877615,29.99999371428661
IND530012AAA,IND532001AAB,Carting,23,1.799999640000072,35,1.0,13.0,8.0,10.8329,0.799999640000072,27.999987400002517
IND712310AAE,IND711303AAA,Carting,23,1.7777775802469358,35,0.9142857142857143,15.0,9.0,12.0049,0.7777775802469358,27.222215308642753
IND834002AAB,IND827013AAA,Carting,23,2.599999826666678,17,0.8823529411764706,35.0,15.0,17.0705,1.5999998266666782,27.19999705333353
IND577002AAA,IND581115AAC,Carting,23,1.9374997399553924,28,1.0,14.0,7.0,10.225100000000001,0.9374997399553924,26.24999271875099
IND131028AAB,IND136118AAA,FTL,23,1.8708332125173688,30,1.0,29.0,16.0,22.71945,0.8708332125173688,26.124996375521064
IND160002AAC,IND000000ACB,FTL,23,1.7333332177777856,35,0.9428571428571428,36.0,18.0,25.1284,0.7333332177777856,25.666662622222496
IND000000ACB,IND821115AAB,FTL,23,2.0526314679901567,24,1.0,35.0,17.0,24.00705,1.0526314679901567,25.26315523176376
IND110037AAM,IND110024AAA,Carting,5,2.5523807760997856,16,1.0,32.0,13.0,12.95685,1.5523807760997856,24.83809241759657
IND562132AAA,IND751002AAB,FTL,23,1.7999999100000044,31,0.9354838709677419,32.0,18.0,24.8837,0.7999999100000044,24.799997210000136
IND630561AAA,IND623407AAA,Carting,1,1.71428546938779,32,1.0,12.0,6.0,9.831150000000001,0.71428546938779,22.85713502040928
IND842001AAA,IND848114AAA,FTL,23,2.7499998281250106,13,1.0,44.0,16.0,23.1708,1.7499998281250106,22.74999776562514
