facility,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54
IND000000AAL,-1.5832016,0.5200033,0.34573784,0.8304092,0.26411578,-0.61047196,0.29255074,0.069371454,-0.26588225,0.119934864,-0.14116894,0.92829865,-0.18269566,-0.51338786,-0.3006488,0.27077284,-0.12874146,-0.043132998,-0.087142,0.21899907,-0.0315271,-0.064827524,-0.036557846,-0.06331076,0.25082338,-0.041889004,-0.05446464,0.059945807,0.45909125,-0.056405246,-0.091058195,0.30837888,-0.0393585,-0.10542974,0.036804534,0.025904149,-0.19448522,-0.13031381,0.18576922,-0.07734062,-0.100507244,0.059824247,0.03619917,0.054741636,-0.06902784,0.19030339,0.18642066,0.17714573,-0.14132172,-0.112742245,0.054714993,-0.041116282,0.08844961,-0.128758,0.17061396
IND000000ABD,-1.7075977,0.8636101,0.7315819,-0.51867914,0.65593565,0.3366535,0.2556902,-0.07669822,0.03199093,0.09841991,-0.18384004,-0.16403487,0.01591751,0.13359031,0.016958768,-0.1124918,0.029852493,-0.05334171,-0.0064999773,0.10544656,0.16749138,-0.06307556,0.020838298,0.03652186,-0.030912027,-0.0024468154,0.04180774,-0.06315094,0.03327638,-0.012945846,-0.072188914,-0.012499988,-0.21081571,0.16997723,0.16894698,0.20508322,0.0049882717,-0.030262332,-0.07022017,-0.041304167,0.06807184,0.1672503,-0.00063634664,-0.17320162,-0.028291285,0.02983765,-0.04078407,-0.16301176,0.04955912,-0.18724677,0.062147252,-0.14905697,-0.15774122,0.26046765,0.05789905
IND000000ABG,1.7953871,0.2043726,0.0003049448,-0.10476137,0.07289296,-0.025079042,0.9249255,-0.43213993,0.009622291,-0.8908889,0.75497854,0.7015264,-0.1171678,0.45936996,0.9631003,0.3637887,-0.04551893,-0.39934716,0.18370382,-0.5564483,-0.6132079,-0.2352249,1.3064724,0.3922025,1.2858549,-0.54680955,0.60984427,0.6513895,-0.45643216,-0.38923752,-0.39964074,0.6442807,0.77434623,-0.04251802,0.4735335,0.56547385,0.35593298,0.23885377,-0.26424843,0.6465693,0.006875485,-0.44487607,-0.24573457,-0.28963065,-0.11248344,-0.6261944,-0.13613267,0.34994018,0.01941504,-0.041340865,0.43478245,-0.274312,0.14548326,-0.113371134,-0.26141685
IND000000ACA,-0.08412206,-0.7418807,1.2758183,-1.4256674,0.070670664,-0.88930166,-0.21630375,0.15047887,0.5348017,0.061778247,0.08897665,0.45223922,-0.4828533,0.16718449,0.42382547,-0.03009532,0.006775979,0.29438308,0.052104414,-0.1612126,0.65204966,0.4642685,-0.042858116,-0.25087932,0.18008588,-0.0878941,0.56980234,-0.07426749,0.11782165,0.30489302,-0.0003477633,0.32840636,0.03617379,0.09116453,-0.1450702,-0.21584645,0.4314355,-0.27426934,-0.20131657,-0.10877855,-0.050873667,-0.1844908,-0.25314045,0.13769934,0.270206,-0.15411696,0.018553212,0.10386901,0.53544474,0.31912044,0.06766559,-0.13094682,0.19485556,0.10270894,-0.00010801852
IND000000ACB,-1.9377666,-0.70564944,0.15755501,0.13436772,-0.49846792,0.37188435,-0.17009164,0.10316371,-0.14597222,-0.14027825,0.08994316,0.1359965,-0.035751116,0.0962601,0.011379117,0.036310185,-0.19007939,0.04911065,-0.122320026,0.04186791,-0.047608145,-0.08768901,-0.18148506,-0.014962554,0.055102415,-0.016192138,0.06568682,-0.021514338,-0.10637247,0.049984574,0.09054405,-0.018742777,0.059627265,-0.050683334,-0.11216109,-0.11277835,-0.062655464,-0.020021837,-0.021987839,0.055101607,-0.22986177,0.058973297,-0.07144316,-0.07463381,0.12189932,0.18420863,-0.071141824,-0.09231729,-0.050446447,-0.058607236,-0.15674107,0.032110304,0.13627796,0.025201634,0.07807435
IND000000ACK,1.7706007,0.1859339,0.0139992535,-0.12166789,0.079848595,-0.027063102,0.9754097,-0.40324044,0.008872613,-0.9264179,0.8175308,0.67016363,-0.1584006,0.47258502,0.9574622,0.35186583,-0.021713253,-0.3708484,0.18972558,-0.49723136,-0.58236945,-0.23400131,1.2766742,0.40426672,1.3093652,-0.5955369,0.6591262,0.5941659,-0.48638177,-0.33865136,-0.347431,0.63996047,0.8390901,-0.016417876,0.44279462,0.5479948,0.35211566,0.25451565,-0.28277737,0.61796576,-0.06183195,-0.45807916,-0.257325,-0.31746575,-0.11404762,-0.6403902,-0.15793507,0.33636886,0.009957645,0.010978542,0.41142964,-0.2999618,0.14921382,-0.10620457,-0.2730786
IND000000ACN,1.9142188,0.18550386,0.032695618,-0.10447857,0.07652626,0.013198622,1.0835522,-0.45809996,0.2339109,-0.94857997,0.74199224,0.7829264,-0.20875606,0.4181522,0.83966625,0.16222692,0.037354693,-0.41500685,0.20048009,-0.51199347,-0.48256135,-0.15202275,1.2795045,0.22087207,1.1515152,-0.662395,0.56954426,0.5105661,-0.523476,-0.15422283,-0.32355353,0.73374414,0.8642988,0.23701964,0.41421336,0.50727993,0.36546987,0.29432577,-0.38932133,0.33254063,-0.24915022,-0.40683183,-0.19676927,-0.27513504,-0.19220102,-0.8118912,-0.12200872,0.37768894,-0.17439264,0.06502776,0.25010923,-0.38106042,0.31182218,0.018460125,-0.3156777
IND000000ACT,-1.5907657,-1.056912,0.7532284,-0.5342947,-0.37300402,-0.43191695,-0.47911307,-0.14708725,-0.08971812,-0.029349484,-0.39354062,-0.18475197,-0.3007422,0.202493,-0.033399906,-0.11829226,-0.10709883,0.14318055,-0.30900717,0.016703648,0.05340127,-0.17501467,-0.03453696,0.012601927,0.053883504,0.06976795,0.10869275,0.03886626,-0.09384645,0.055655614,0.017016754,0.077842556,0.1019761,0.0065960214,-0.0104276985,-0.11847246,0.03489334,-0.085323155,0.07470782,0.16960351,-0.041113473,-0.029591084,-0.06686667,-0.05605814,-0.09232457,0.10243362,0.039210215,-0.006599605,-0.2115859,-0.06985991,0.12220341,-0.009639411,-0.010181095,0.0830426,0.15271331
IND000000ADV,1.6423239,0.05015581,0.039166857,-0.24661031,0.08073023,-0.29264802,-0.069820784,-0.41436392,-0.6253535,-0.6965528,1.6628486,-0.9172279,-0.06820761,0.61507726,-1.2402129,1.4661901,-0.093520015,0.7268896,0.93398887,0.6210077,0.22341883,0.4206795,-0.1829564,0.31872633,0.40918303,0.28657684,0.39697483,0.47163022,0.45163757,-0.19703034,-0.044836223,-0.33513278,-0.07514815,-0.5848088,-0.6170978,0.7810387,0.0894221,0.82082283,0.90355325,0.40891042,0.43447074,-0.1965378,-0.14555722,0.35810542,0.26961112,-0.23817413,-0.017237127,0.24996847,-0.09819162,0.1803472,0.61913246,-0.069659576,0.038780138,-0.46781373,0.1648258
IND000000AEL,-1.970079,-0.8012141,0.17979977,0.21443494,-0.60217845,0.34172022,-0.33217454,-0.023530744,-0.06683702,-0.13946989,0.123224884,0.1223744,0.13499026,0.009692069,0.022566153,-0.12833263,-0.19195624,0.07768309,0.0054052537,0.04602172,-0.2414662,-0.20086631,-0.19530416,-0.014950383,0.40947354,-0.05545097,0.17949578,-0.08699924,0.15109046,-0.048920177,-0.05350791,0.12230106,0.17403184,0.024313234,0.13467732,0.1486826,-0.11058587,-0.056277458,-0.078688025,0.16136333,0.033087738,-0.014007814,-0.10483701,0.10731305,-0.11440319,0.1063377,0.19383104,0.007289782,-0.26458257,0.002824802,-0.03873034,-0.11753405,0.17417957,-0.012231011,-0.05683051
